"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-26251","WR","Robby","Robby Anderson","Anderson","4","2","5200","MIA@NYJ","NYJ","MIA","Q","Knee","",""
"21030-25272","TE","Eric","Eric Ebron","Ebron","7.300000190734863","2","5200","ATL@DET","DET","ATL","","","",""
"21030-7900","K","Stephen","Stephen Gostkowski","Gostkowski","10.5","2","5200","HOU@NE","NE","HOU","","","",""
"21030-7972","RB","Darren","Darren Sproles","Sproles","6.900000095367432","2","5200","NYG@PHI","PHI","NYG","","","",""
"21030-14362","TE","Charles","Charles Clay","Clay","8.550000190734863","2","5100","DEN@BUF","BUF","DEN","Q","Knee","",""
"21030-52442","RB","Joe","Joe Mixon","Mixon","4.25","2","5100","CIN@GB","CIN","GB","","","",""
"21030-12531","D","Denver","Denver Broncos","Broncos","9","2","5100","DEN@BUF","DEN","BUF","","","",""
"21030-30968","RB","Eddie","Eddie Lacy","Lacy","0.30000001192092896","1","5100","SEA@TEN","SEA","TEN","","","",""
"21030-12539","D","Miami","Miami Dolphins","Dolphins","2","1","5100","MIA@NYJ","MIA","NYJ","","","",""
"21030-54687","RB","Charcandrick","Charcandrick West","West","9","1","5100","KC@LAC","KC","LAC","","","",""
"21030-54753","WR","Taylor","Taylor Gabriel","Gabriel","4.099999904632568","2","5100","ATL@DET","ATL","DET","","","",""
"21030-54782","TE","Cameron","Cameron Brate","Brate","3.4000000953674316","1","5100","TB@MIN","TB","MIN","","","",""
"21030-22035","WR","Travis","Travis Benjamin","Benjamin","6.699999809265137","2","5100","KC@LAC","LAC","KC","","","",""
"21030-6728","RB","Jamaal","Jamaal Charles","Charles","3.8499999046325684","2","5100","DEN@BUF","DEN","BUF","","","",""
"21030-31329","WR","Russell","Russell Shepard","Shepard","6.699999809265137","2","5100","NO@CAR","CAR","NO","","","",""
"21030-31397","RB","Jeremy","Jeremy Hill","Hill","2.6500000953674316","2","5100","CIN@GB","CIN","GB","","","",""
"21030-45791","WR","Rashard","Rashard Higgins","Higgins","13.399999618530273","1","5100","CLE@IND","CLE","IND","","","",""
"21030-27457","WR","Kenny","Kenny Stills","Stills","10.699999809265137","1","5100","MIA@NYJ","MIA","NYJ","","","",""
"21030-32613","RB","DeAndre","DeAndre Washington","Washington","4.099999904632568","2","5100","OAK@WAS","OAK","WAS","Q","Hamstring","",""
"21030-41872","TE","Evan","Evan Engram","Engram","9.649999618530273","2","5100","NYG@PHI","NYG","PHI","Q","Concussion","",""
"21030-14317","TE","Julius","Julius Thomas","Thomas","4.099999904632568","1","5100","MIA@NYJ","MIA","NYJ","","","",""
"21030-24671","WR","Adam","Adam Humphries","Humphries","2.799999952316284","1","5000","TB@MIN","TB","MIN","","","",""
"21030-12547","D","Pittsburgh","Pittsburgh Steelers","Steelers","13","2","5000","PIT@CHI","PIT","CHI","","","",""
"21030-27908","TE","C.J.","C.J. Fiedorowicz","Fiedorowicz","6.599999904632568","1","5000","HOU@NE","HOU","NE","IR","Concussion","",""
"21030-39286","TE","O.J.","O.J. Howard","Howard","2.200000047683716","1","5000","TB@MIN","TB","MIN","","","",""
"21030-54741","WR","Seth","Seth Roberts","Roberts","4.199999809265137","2","5000","OAK@WAS","OAK","WAS","","","",""
