Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
202,Dylan Donahue (FA),4,1,0.0,0,0,0,0,0,4,9.3,2.3,0.0%
203,Brandon Bell (FA),4,3,0.0,0,0,0,0,0,3,9.1,3.0,0.0%
204,Brian Peters (FA),5,3,0.0,0,0,0,0,0,16,9.1,0.6,0.0%
205,Nick Bellore (SEA),5,1,0.0,0,0,0,0,0,13,9.0,0.7,0.0%
206,Xavier Woodson-Luster (FA),4,3,0.0,0,0,0,0,0,14,9.0,0.6,0.0%
207,Freddie Bishop (FA),5,5,0.0,0,0,0,1,0,5,8.3,1.7,0.0%
208,Tim Williams (GB),5,1,0.0,0,0,0,0,0,8,8.3,1.0,0.0%
209,Shilique Calhoun (NE),4,2,0.0,0,0,0,0,0,9,7.6,0.8,0.4%
210,Isaiah Irving (CHI),2,0,0.0,0,0,0,1,0,7,7.0,1.0,0.0%
211,Carlos Thompson (FA),3,0,0.0,0,0,0,0,0,3,7.0,2.3,0.0%
212,Arthur Moats (FA),4,1,0.0,0,0,0,0,0,14,6.8,0.5,0.0%
213,Corey Nelson (FA),2,2,0.0,0,0,0,0,0,5,6.0,1.2,0.0%
214,D.J. Alexander (FA),2,0,0.0,0,0,0,0,0,12,5.5,0.5,0.0%
215,Dekoda Watson (FA),3,1,0.0,0,0,0,0,0,14,5.3,0.4,0.4%
216,Jonathan Freeny (FA),3,1,0.0,0,0,0,0,0,6,5.3,0.9,0.0%
217,Jonathan Anderson (FA),3,1,0.0,0,0,0,0,0,12,5.3,0.4,0.0%
218,Devante Bond (CHI),3,1,0.0,0,0,0,0,0,14,5.3,0.4,0.0%
219,Nate Palmer (FA),0,3,0.0,0,0,0,0,0,10,4.6,0.5,0.0%
220,Kyle Wilber (LV),2,2,0.0,0,0,0,0,0,16,4.5,0.3,0.0%
221,Cameron Lynch (FA),2,0,0.0,0,0,0,1,0,14,3.0,0.2,0.0%
222,Pete Robertson (FA),1,1,0.0,0,0,0,0,0,4,3.0,0.8,0.0%
223,Kentrell Brothers (FA),1,1,0.0,0,0,0,0,0,16,2.3,0.1,0.0%
224,Steve Longa (FA),1,1,0.0,0,0,0,0,0,15,2.3,0.2,0.0%
225,LaRoy Reynolds (ATL),1,1,0.0,0,0,0,0,0,9,2.3,0.3,0.5%
226,Tyrone Holmes (FA),0,2,0.0,0,0,0,0,0,4,2.3,0.6,0.0%
227,Jerrol Garcia-Williams (FA),1,0,0.0,0,0,0,0,0,11,1.5,0.1,0.0%
228,Riley Bullough (FA),1,0,0.0,0,0,0,0,0,3,1.5,0.5,0.0%
229,Sean Weatherspoon (FA),1,0,0.0,0,0,0,0,0,2,1.5,0.8,0.0%
230,Kasim Edebali (FA),0,1,0.0,0,0,0,0,0,13,1.5,0.1,0.0%
231,Reggie Gilbert (TEN),2,0,1.0,0,0,0,0,0,2,1.5,0.8,0.4%
232,Tamba Hali (FA),1,0,0.0,0,0,0,0,0,5,1.5,0.3,2.0%
233,Scooby Wright (FA),1,0,0.0,0,0,0,0,0,10,1.5,0.2,0.0%
234,Deon Lacey (FA),1,0,0.0,0,0,0,0,0,16,1.5,0.1,0.0%
235,Deon King (FA),0,0,0.0,0,0,0,0,0,9,1.5,0.2,0.0%
236,Akeem Ayers (FA),0,1,0.0,0,0,0,0,0,6,0.8,0.1,0.0%
237,Brady Sheldon (CIN),0,0,0.0,0,0,0,0,0,2,0.0,0.0,1.0%
238,Ejuan Price (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
239,Jermaine Grace (CLE),0,0,0.0,0,0,0,0,0,11,0.0,0.0,0.0%
240,Samson Ebukam (LAR),20,2,2.0,0,0,1,0,0,16,0.0,0.0,2.5%
241,Roquan Smith (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,69.5%
242,Bradley Chubb (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,46.4%
243,Elijah Lee (DET),0,0,0.0,0,0,0,0,0,14,0.0,0.0,0.0%
244,Ahmad Thomas (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
245,Pita Taumoepenu (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,1.0%
246,Joseph Jones (DEN),0,0,0.0,0,0,0,0,0,7,0.0,0.0,0.0%
247,Nicholas Morrow (LV),37,20,0.0,4,0,0,0,0,16,0.0,0.0,3.3%
248,Otha Peters (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
249,Gimel President (FA),1,1,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
250,Garrett Sickels (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
251,Chris Odom (FA),3,3,0.0,0,0,0,0,0,7,0.0,0.0,3.0%
252,Nick Usher (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
253,Thomas Hennessy (NYJ),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
254,Eric Wilson (MIN),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.7%
255,B.J. Bello (NYJ),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
256,Bam Bradley (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
257,Donald Payne (FA),0,1,0.0,0,0,0,0,0,13,0.0,0.0,16.8%
258,Derek Hart (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
259,Chris Landrum (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
260,Aaron Wallace (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
